Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,ch_age_cat_6_59,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,WAZ_WHO,HAZ_WHO,WHZ_WHO,Flag_WHO,FLAG_HAZ,FLAG_WHZ,stunting_ch,wasting_ch,overweight_ch,CHWEIGHT
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,100,0,0,0,0,0,100,0,100,0.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,100,0,0,100,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,0,100,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,100,0,0,100,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,0,100,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,100,0,0,0,0,0,100,0,100,0.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,0,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,0,100,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,100,0,0,0,0,0,100,0,100,0.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,100,0,0,0,0,0,100,0,100,0.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,-0.44,0.283,-0.756,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-3.154,-4.07,-1.054,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,-1.441,-2.664,-0.106,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,100,0,0,100,100,100,0,100,,,-1.591,-0.644,-1.597,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,0,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,0.579,-1.738,2.25,,No error,No error,0.0,0.0,100.0,0.9265491635886738
Total,2000,Rural,North,Middle,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,-1.517,-3.03,-0.1,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-0.196,-0.754,0.405,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-1.336,-3.104,0.732,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,0.018,0.433,-0.246,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,0,,,-1.001,-2.593,0.794,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,100,100,0,,100.0,-0.308,-0.193,-0.305,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,100,0,100,,,-2.01,-3.419,0.049,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,-1.066,-2.23,0.112,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,100,,0.0,-0.39,-1.263,0.239,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,0,100,100,100,0,100,,,-1.287,-1.606,-0.489,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,0,100,100,100,0,100,,,-0.58,-0.594,-0.363,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,100,0,0,100,100,0,0,100,,,-0.529,0.035,-0.678,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-1.894,-4.286,0.986,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-1.451,-1.499,-0.886,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,100,0,0,0,0,0,100,100,100,100.0,,-0.552,-0.087,-0.636,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,0,100,100,100,0,100,,,-1.03,-2.121,0.177,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-1.697,-2.942,-0.021,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,100,0,0,0,0,0,100,0,100,0.0,,-0.36,-1.547,1.265,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,0,100,100,100,0,100,,,-0.969,-2.132,0.214,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-0.376,-7.33,6.501,"HAZ, WHZ",Error flag,Error flag,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,100,0,100,,,-2.533,-3.435,-0.605,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,100,0,0,0,0,0,100,0,100,0.0,,-1.014,-1.178,0.044,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-1.784,-3.431,0.383,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,100,0,0,100,100,100,0,100,,,1.162,1.195,0.817,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,-1.442,-1.757,-0.779,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,-1.078,-2.698,0.294,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-6.435,-2.844,-8.057,"WAZ, WHZ",No error,Error flag,100.0,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,100,0,0,100,100,100,0,100,,,2.555,-0.576,3.806,,No error,No error,0.0,0.0,100.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-2.01,-2.692,-0.566,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-1.772,-2.978,-0.036,,No error,No error,100.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,100,0,0,100,100,100,0,100,,,-0.443,-0.983,0.301,,No error,No error,0.0,0.0,0.0,0.9265491635886738
Total,2000,Rural,North,Middle,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,"WAZ, HAZ, WHZ",Error flag,Error flag,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,"WAZ, HAZ, WHZ",Error flag,Error flag,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,100,0,0,0,0,0,100,0,100,0.0,,,,,"WAZ, HAZ, WHZ",Error flag,Error flag,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,0,100,0,0,100,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,100,0,0,100,100,100,100,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,100,100,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,0,100,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,0,100,100,100,100,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,100,0,0,100,100,100,0,0,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,0,100,100,100,100,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Richest,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Richest,Mon-Khmer,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,0,100,100,100,0,0,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Richest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,0,100,100,0,0,0,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Richest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Richest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Richest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,0,100,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,0.9265491635886738
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,0,100,100,100,0,100,,,,,,,No error,No error,,,,0.9265491635886738
